Nodes,Implementation Study,Belgium,Czech Republic,Denmark,EMBL-EBI,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Luxembourg,Netherlands,Norway,Portugal,Slovenia,Spain,Sweden,Switzerland,UK
"NL, DE, FR, ES, GR, SE, IT, CH, (EE, UK, CH, BE)",2018-metabolomics,1,,,,1,,1,1,1,,,,1,,1,,,,1,1,1,1
"BE, NL, DK, CH, FR, SE, NO, EBI, DE, ES",2018-proteomics,1,,1,1,,,1,1,,,,,,,1,1,,,1,1,1,
"UK, CH, EBI",2018-structure,,,,1,,,,,,,,,,,,,,,,,1,1
"IT, EBI",2018-taxometabarcode,,,,1,,,,,,,,,1,,,,,,,,,
"FI, EBI, CH, IT, UK, NO",2018-variations,,,,1,,1,,,,,,,1,,,1,,,,,1,1
"BE, FR, EBI, DE, ES",2018-proteome,1,,,1,,,1,1,,,,,,,,,,,1,,,
"FR, IT, NL, NO, DE, ES",2018-galaxy,,,,,,,1,1,,,,,1,,1,1,,,1,,,
"NL, IT, EBI",2018-MyFAIR,,,,1,,,,,,,,,1,,1,,,,,,,
"UK, CH, EBI, LU, SI",2018-biocuration,,,,1,,,,,,,,,,1,,,,1,,,1,1
"NL, FR, PT, IT",2017-staffex1,,,,,,,1,,,,,,1,,1,,1,,,,,
"CZ, EBI",2017-staffex2,,1,,1,,,,,,,,,,,,,,,,,,
"ES, FI, SE",2017-staffex3,,,,,,1,,,,,,,,,,,,,1,1,,
"FI, ES",2017-staffex4,,,,,,1,,,,,,,,,,,,,1,,,
"IT, ES",2017-staffex5,,,,,,,,,,,,,1,,,,,,1,,,
"SI, ES",2017-staffex6,,,,,,,,,,,,,,,,,,1,1,,,
"SE, SI",2017-staffex7,,,,,,,,,,,,,,,,,,1,,1,,
"EBI, CZ",2016-staffex1,,1,,1,,,,,,,,,,,,,,,,,,
"EBI, IL",2018-staffex1,,,,1,,,,,,,,1,,,,,,,,,,
